StationID,PointType,LastUpdate,StatusID
21,DC,2020/12/19 10:16,5
28,AC2,2020/12/29 12:00,6
30,AC3,2020/12/27 21:46,2
36,DC,2020/12/29 04:05,1
9,DC,2020/12/25 09:22,5
24,AC2,2021/01/01 20:24,1
5,DC,2020/12/15 09:08,2
35,AC3,2021/01/01 16:29,1
6,AC2,2020/12/31 16:22,1
2,AC3,2020/12/18 17:04,2
5,DC,2020/12/23 11:44,5
29,AC3,2020/12/31 02:03,2
39,AC3,2020/12/23 12:55,5
24,AC2,2020/12/15 18:27,5
3,DC,2020/12/28 14:36,1
19,AC3,2020/12/23 04:00,2
4,DC,2020/12/21 21:01,1
4,AC3,2020/12/27 07:39,1
39,DC,2020/12/31 04:42,5
38,DC,2020/12/26 23:11,1
29,AC2,2020/12/19 09:19,2
15,AC3,2020/12/22 23:22,1
4,AC3,2020/12/27 05:23,6
1,AC2,2020/12/16 06:50,3
34,DC,2020/12/31 09:52,1
32,AC2,2020/12/31 19:29,2
22,DC,2020/12/23 17:13,1
3,DC,2020/12/22 02:07,6
24,DC,2020/12/28 23:44,5
21,DC,2020/12/24 23:48,1
16,AC3,2020/12/22 07:03,5
6,DC,2020/12/27 18:15,5
2,AC2,2020/12/19 01:52,1
9,DC,2020/12/21 11:52,4
27,AC2,2020/12/25 08:54,6
38,AC2,2020/12/18 16:51,4
6,AC3,2020/12/30 18:44,4
1,DC,2021/01/01 13:18,1
24,DC,2020/12/25 10:33,6
24,DC,2020/12/17 05:15,6
16,AC3,2020/12/20 20:07,1
6,AC3,2020/12/16 08:26,1
16,AC3,2020/12/26 00:51,1
