StartedOn,FinishedOn,RequestedEnergy,EnergyDelivered,Protocol,PaymentType,PricePolicyRef,CostPerKWh,SessionCost,BonusPointsRedeemed,BonusPointsGained,VehicleID,StationPointID,ProviderID
2020/01/23 12:55:10,2020/01/23 14:7:12,NULL,36.4,OICP,Credit Card,Fast Pro,0.16,5.82,0,36,12,163,1
2020/02/09 11:0:5,2020/02/09 12:9:6,NULL,23.8,OICP,Credit Card,Fast Pro,0.16,3.81,0,23,26,141,4
2020/12/24 0:42:32,2020/12/24 1:24:7,28.8,28.6,ISO15118,Credit Card,Standard,0.1,1.86,100,28,11,105,3
2020/07/31 0:32:16,2020/07/31 2:8:30,NULL,34.3,ISO15118,Credit Card,Fast Pro,0.16,5.11,38,34,3,108,2
2020/04/08 8:18:3,2020/04/08 9:19:14,NULL,23.3,OCPI,Credit Card,Fast Pro,0.16,3.73,0,23,19,69,3
2020/06/02 6:52:16,2020/06/02 7:15:39,NULL,21.8,ISO15118,Credit Card,Discount,0.08,1.74,0,21,3,72,1
2020/10/24 6:8:53,2020/10/24 8:40:6,NULL,31.5,OCHP,Credit Card,Military,0.04,-0.36,162,31,9,8,3
2020/10/08 10:19:16,2020/10/08 12:49:19,NULL,36.9,OICP,Credit Card,Military,0.04,1.48,0,36,20,83,4
2020/03/09 2:22:8,2020/03/09 3:2:11,NULL,37.6,OICP,Credit Card,Discount,0.08,3.01,0,37,18,196,4
2020/07/07 10:4:39,2020/07/07 12:10:22,32.1,32.1,ISO15118,Credit Card,Military,0.04,1.28,0,32,25,113,2
2020/10/14 0:33:29,2020/10/14 1:22:11,34.6,34.2,OCHP,Credit Card,Military,0.04,1.37,0,34,7,161,5
2020/08/13 5:1:51,2020/08/13 7:28:46,NULL,31.6,OCPI,Credit Card,Standard,0.1,1.78,138,31,32,185,3
2020/02/05 0:31:55,2020/02/05 1:10:37,NULL,37.1,OCHP,Credit Card,Fast Pro,0.16,3.96,198,37,22,103,3
2020/02/07 4:24:24,2020/02/07 5:20:17,NULL,34.5,OCPI,Credit Card,Standard,0.1,3.42,3,34,9,19,1
2020/02/12 1:8:23,2020/02/12 3:24:33,21.1,21.8,OpenADR,Credit Card,Fast Pro,0.16,3.49,0,21,16,163,3
2020/04/14 7:16:39,2020/04/14 9:39:15,NULL,22.2,OpenADR,Credit Card,Standard,0.1,2.22,0,22,34,2,2
2020/05/31 2:41:50,2020/05/31 4:55:43,NULL,22.1,OCPI,Credit Card,Fast Pro,0.16,3.54,0,22,14,176,2
2020/12/14 7:34:18,2020/12/14 9:40:5,NULL,22.0,OCCP,Credit Card,Standard,0.1,2.2,0,22,12,142,3
2020/09/25 11:35:47,2020/09/25 13:7:11,36.9,36.5,OCPI,Credit Card,Standard,0.1,3.65,0,36,7,148,4
2020/04/16 6:31:0,2020/04/16 7:8:20,36.1,36.3,OCPI,Credit Card,Military,0.04,-0.45,190,36,31,100,2
2020/01/23 14:12:8,2020/01/23 15:34:20,NULL,26.7,OICP,Credit Card,Discount,0.08,2.14,0,26,11,193,5
2020/09/21 19:2:4,2020/09/21 21:41:5,NULL,32.2,OCPI,Credit Card,Fast Pro,0.16,5.15,0,32,20,52,4
2020/01/14 9:46:15,2020/01/14 11:34:41,32.7,33.4,OICP,Credit Card,Standard,0.1,3.34,0,33,7,75,4
2020/03/16 8:50:43,2020/03/16 9:18:41,20.0,20.5,OCPI,Credit Card,Standard,0.1,2.05,0,20,24,15,2
2020/10/18 7:32:31,2020/10/18 9:5:19,30.4,29.4,OpenADR,Credit Card,Fast Pro,0.16,2.73,197,29,30,47,1
2020/09/15 15:30:32,2020/09/15 16:33:23,27.1,26.1,OCCP,Credit Card,Fast Pro,0.16,4.18,0,26,21,108,1
2020/07/03 11:58:47,2020/07/03 12:28:54,26.2,27.0,OCHP,Credit Card,Fast Pro,0.16,4.32,0,27,12,75,3
2020/01/06 13:57:42,2020/01/06 15:43:47,37.2,36.9,OCHP,Credit Card,Standard,0.1,3.69,0,36,22,190,5
2020/08/08 5:53:39,2020/08/08 6:41:39,NULL,27.7,OICP,Credit Card,Fast Pro,0.16,4.43,0,27,2,164,1
2020/06/03 6:40:31,2020/06/03 8:31:41,35.8,35.0,OICP,Credit Card,Standard,0.1,2.63,87,35,14,94,2
2020/02/21 13:54:49,2020/02/21 15:42:5,26.2,26.9,OCCP,Credit Card,Discount,0.08,2.15,0,26,27,101,5
2020/08/07 5:55:54,2020/08/07 7:49:13,23.9,24.3,OCCP,Credit Card,Standard,0.1,2.43,0,24,12,34,4
2020/12/09 8:37:1,2020/12/09 10:37:38,34.6,35.2,OCPI,Credit Card,Standard,0.1,3.52,0,35,12,112,3
2020/06/18 14:37:35,2020/06/18 16:20:14,26.9,27.2,OpenADR,Credit Card,Standard,0.1,2.72,0,27,12,125,3
2020/08/06 16:29:43,2020/08/06 18:23:0,NULL,30.1,OCHP,Credit Card,Standard,0.1,3.01,0,30,15,74,2
2020/01/27 11:46:19,2020/01/27 12:57:11,36.8,36.8,OCPI,Credit Card,Discount,0.08,2.94,0,36,16,158,2
2020/10/10 1:56:3,2020/10/10 2:7:11,NULL,22.4,ISO15118,Credit Card,Fast Pro,0.16,3.58,0,22,11,37,2
2020/04/23 5:39:30,2020/04/23 6:52:21,28.8,29.6,OICP,Credit Card,Discount,0.08,0.52,185,29,4,38,1
2020/02/09 13:51:31,2020/02/09 15:36:50,20.3,19.5,ISO15118,Credit Card,Military,0.04,0.78,0,19,33,155,4
2020/03/02 11:39:53,2020/03/02 12:13:51,NULL,31.2,ISO15118,Credit Card,Standard,0.1,3.12,0,31,8,90,3
2020/01/17 7:30:55,2020/01/17 8:58:40,19.6,20.1,ISO15118,Credit Card,Discount,0.08,1.61,0,20,3,48,4
2020/07/01 4:11:17,2020/07/01 6:26:38,NULL,25.5,OCHP,Credit Card,Standard,0.1,2.41,14,25,34,155,1
2020/05/11 12:4:20,2020/05/11 13:47:12,37.0,36.5,OCCP,Credit Card,Military,0.04,1.46,0,36,3,15,2
2020/07/14 8:0:49,2020/07/14 9:15:9,NULL,21.5,OCCP,Credit Card,Fast Pro,0.16,3.44,0,21,28,193,4
2020/11/03 13:38:24,2020/11/03 14:23:8,NULL,31.4,OCPI,Credit Card,Discount,0.08,2.51,0,31,16,64,4
2020/08/27 1:8:43,2020/08/27 3:34:38,NULL,22.4,ISO15118,Credit Card,Discount,0.08,1.79,0,22,10,181,1
2020/11/26 13:27:43,2020/11/26 15:20:13,34.7,34.0,ISO15118,Credit Card,Standard,0.1,3.4,0,34,33,134,1
2020/07/01 9:9:57,2020/07/01 10:20:31,NULL,37.0,OCHP,Credit Card,Fast Pro,0.16,5.92,0,37,15,158,2
2020/05/20 15:46:26,2020/05/20 17:3:14,NULL,31.8,ISO15118,Credit Card,Standard,0.1,3.18,0,31,26,93,3
2020/08/28 8:50:31,2020/08/28 10:0:44,NULL,29.4,OCHP,Credit Card,Discount,0.08,2.35,0,29,22,135,4
2020/10/14 5:9:36,2020/10/14 6:41:23,27.4,27.2,OpenADR,Credit Card,Standard,0.1,2.72,0,27,27,162,5
2020/04/02 12:14:37,2020/04/02 14:26:47,19.8,20.2,OpenADR,Credit Card,Standard,0.1,2.02,0,20,19,81,1
2020/05/14 13:5:36,2020/05/14 15:5:14,NULL,36.3,ISO15118,Credit Card,Discount,0.08,2.9,0,36,13,28,2
2020/12/30 1:9:17,2020/12/30 3:54:23,NULL,24.6,OCCP,Credit Card,Fast Pro,0.16,3.94,0,24,31,39,2
2020/04/09 6:44:36,2020/04/09 8:34:11,NULL,17.8,OCHP,Credit Card,Military,0.04,0.71,0,17,6,69,3
2020/08/31 13:44:20,2020/08/31 15:11:47,31.3,31.8,OCPI,Credit Card,Discount,0.08,1.28,126,31,11,101,5
2020/09/14 7:56:41,2020/09/14 8:14:38,26.3,26.4,OCPI,Credit Card,Military,0.04,1.06,0,26,19,84,1
2020/12/10 12:4:47,2020/12/10 14:25:14,NULL,36.2,ISO15118,Credit Card,Standard,0.1,3.62,0,36,3,157,2
2020/01/11 11:45:52,2020/01/11 13:6:38,NULL,27.0,ISO15118,Credit Card,Fast Pro,0.16,4.32,0,27,4,4,4
2020/12/24 3:30:42,2020/12/24 5:12:6,24.5,24.8,OCCP,Credit Card,Standard,0.1,2.41,7,24,17,117,4
2020/10/25 3:12:2,2020/10/25 4:33:54,NULL,34.5,OICP,Credit Card,Standard,0.1,1.96,149,34,27,75,2
2020/03/31 13:23:35,2020/03/31 15:21:52,NULL,15.6,ISO15118,Credit Card,Standard,0.1,0.31,125,15,11,29,5
2020/01/04 15:45:11,2020/01/04 16:22:47,28.5,28.5,OCHP,Credit Card,Discount,0.08,2.28,0,28,22,123,5
2020/04/11 14:5:19,2020/04/11 15:55:6,NULL,34.4,OCPI,Credit Card,Fast Pro,0.16,5.03,47,34,29,41,4
2020/01/11 14:53:32,2020/01/11 15:42:52,20.9,21.6,OCHP,Credit Card,Discount,0.08,1.73,0,21,18,53,3
2020/08/01 13:18:6,2020/08/01 14:23:53,NULL,29.2,ISO15118,Credit Card,Fast Pro,0.16,4.67,0,29,30,151,3
2020/02/28 5:37:43,2020/02/28 6:55:37,37.2,36.9,OCPI,Credit Card,Military,0.04,-0.33,181,36,20,83,1
2020/10/14 10:5:43,2020/10/14 12:6:2,33.7,33.2,OICP,Credit Card,Discount,0.08,1.81,85,33,31,108,1
2020/12/24 4:30:38,2020/12/24 5:35:24,16.3,17.0,ISO15118,Credit Card,Fast Pro,0.16,2.72,0,17,30,185,2
2020/12/02 3:50:53,2020/12/02 4:3:19,32.5,31.6,OCPI,Credit Card,Fast Pro,0.16,3.33,173,31,8,12,4
2020/08/16 18:36:53,2020/08/16 19:21:18,NULL,32.6,OCHP,Credit Card,Discount,0.08,2.61,0,32,27,121,5
2020/06/18 1:18:48,2020/06/18 3:53:10,NULL,27.4,OCPI,Credit Card,Standard,0.1,1.02,172,27,28,196,3
2020/12/14 8:47:58,2020/12/14 9:58:2,16.5,17.3,OCPI,Credit Card,Fast Pro,0.16,2.77,0,17,25,90,5
2020/09/25 4:22:57,2020/09/25 5:47:18,17.3,16.8,OpenADR,Credit Card,Military,0.04,0.67,0,16,9,146,2
2020/05/29 11:55:1,2020/05/29 12:27:25,NULL,26.9,OCHP,Credit Card,Standard,0.1,2.69,0,26,31,101,5
2020/10/11 9:26:33,2020/10/11 10:31:37,NULL,32.5,OCHP,Credit Card,Standard,0.1,3.25,0,32,4,3,4
2020/07/18 19:18:33,2020/07/18 20:41:41,NULL,20.3,OICP,Credit Card,Standard,0.1,1.59,44,20,3,53,1
2020/08/03 12:17:28,2020/08/03 13:9:51,NULL,20.3,ISO15118,Credit Card,Military,0.04,0.81,0,20,23,177,3
2020/03/14 13:0:58,2020/03/14 14:39:35,NULL,19.1,OCPI,Credit Card,Discount,0.08,1.53,0,19,10,130,1
2020/03/05 5:56:16,2020/03/05 6:28:24,36.0,36.6,ISO15118,Credit Card,Discount,0.08,2.93,0,36,21,136,2
2020/03/21 2:13:44,2020/03/21 3:28:39,35.5,35.0,OCCP,Credit Card,Discount,0.08,2.8,0,35,29,102,5
2020/12/14 3:0:14,2020/12/14 4:46:2,24.0,23.6,OCHP,Credit Card,Fast Pro,0.16,3.78,0,23,14,193,3
2020/08/08 16:57:37,2020/08/08 17:15:35,NULL,21.0,OpenADR,Credit Card,Standard,0.1,2.1,0,21,34,142,3
2020/07/16 5:1:12,2020/07/16 6:49:49,28.6,28.5,OpenADR,Credit Card,Military,0.04,1.14,0,28,24,152,4
2020/07/24 18:4:14,2020/07/24 20:10:46,NULL,32.0,OCPI,Credit Card,Military,0.04,1.28,0,32,26,126,3
2020/05/18 11:58:36,2020/05/18 13:37:56,NULL,24.3,OICP,Credit Card,Standard,0.1,1.96,47,24,2,24,1
2020/08/08 12:46:53,2020/08/08 13:37:17,31.7,32.5,OICP,Credit Card,Standard,0.1,3.25,0,32,4,56,5
2020/02/05 9:15:53,2020/02/05 10:33:51,NULL,29.2,OCHP,Credit Card,Fast Pro,0.16,4.67,0,29,17,145,4
2020/01/24 17:18:57,2020/01/24 18:25:46,31.9,32.5,ISO15118,Credit Card,Standard,0.1,3.25,0,32,13,69,5
2020/06/14 1:22:11,2020/06/14 2:26:54,34.1,34.8,OpenADR,Credit Card,Discount,0.08,1.37,141,34,28,76,5
2020/02/06 15:2:23,2020/02/06 16:24:21,NULL,35.2,OCCP,Credit Card,Discount,0.08,2.82,0,35,24,64,1
2020/07/09 5:48:12,2020/07/09 6:15:52,NULL,36.7,OCPI,Credit Card,Fast Pro,0.16,4.03,184,36,26,127,2
2020/01/31 11:28:24,2020/01/31 12:38:4,NULL,36.7,OCCP,Credit Card,Fast Pro,0.16,5.87,0,36,7,111,3
2020/12/03 18:36:7,2020/12/03 20:56:42,NULL,18.1,ISO15118,Credit Card,Fast Pro,0.16,2.9,0,18,3,70,4
2020/04/13 18:45:29,2020/04/13 19:26:56,NULL,31.0,ISO15118,Credit Card,Fast Pro,0.16,3.21,175,31,16,32,1
2020/05/19 0:48:33,2020/05/19 1:41:44,35.5,35.5,OpenADR,Credit Card,Military,0.04,1.42,0,35,15,131,4
2020/02/02 15:4:37,2020/02/02 17:15:36,20.7,21.3,ISO15118,Credit Card,Fast Pro,0.16,3.41,0,21,34,5,1
2020/04/02 12:1:7,2020/04/02 14:39:17,17.9,18.5,OpenADR,Credit Card,Standard,0.1,1.85,0,18,21,14,5
2020/09/11 7:39:16,2020/09/11 9:22:58,NULL,34.9,OICP,Credit Card,Discount,0.08,2.79,0,34,1,125,4
2020/07/03 5:45:22,2020/07/03 7:2:34,34.9,35.3,OCPI,Credit Card,Standard,0.1,3.53,0,35,27,21,3
2020/10/08 15:29:6,2020/10/08 16:29:14,24.4,23.8,ISO15118,Credit Card,Military,0.04,0.95,0,23,30,3,3
2020/05/01 0:26:45,2020/05/01 1:10:22,15.9,16.5,ISO15118,Credit Card,Standard,0.1,1.65,0,16,19,126,3
2020/04/29 5:52:41,2020/04/29 7:21:5,23.8,22.9,ISO15118,Credit Card,Fast Pro,0.16,3.66,0,22,33,57,4
2020/06/15 5:48:11,2020/06/15 7:41:19,NULL,21.5,OpenADR,Credit Card,Fast Pro,0.16,3.44,0,21,5,107,1
2020/10/17 18:17:38,2020/10/17 20:22:6,NULL,34.9,OpenADR,Credit Card,Standard,0.1,3.49,0,34,11,130,3
2020/12/18 5:29:23,2020/12/18 7:56:8,NULL,36.0,OpenADR,Credit Card,Fast Pro,0.16,5.76,0,36,13,12,2
2020/09/22 4:39:7,2020/09/22 6:19:4,24.8,24.4,OpenADR,Credit Card,Standard,0.1,2.44,0,24,6,2,5
2020/03/25 1:28:11,2020/03/25 2:7:5,27.6,28.5,OpenADR,Credit Card,Military,0.04,1.14,0,28,1,164,1
2020/02/09 2:16:52,2020/02/09 3:48:4,NULL,28.4,OpenADR,Credit Card,Military,0.04,-0.61,175,28,8,181,3
2020/09/27 13:16:7,2020/09/27 15:50:24,23.3,23.7,ISO15118,Credit Card,Fast Pro,0.16,2.78,101,23,13,90,5
2020/03/13 3:50:29,2020/03/13 4:15:26,NULL,16.7,OICP,Credit Card,Fast Pro,0.16,1.38,129,16,12,164,2
2020/07/24 0:33:45,2020/07/24 2:33:8,32.5,32.8,OCCP,Credit Card,Fast Pro,0.16,5.25,0,32,22,142,4
2020/04/13 12:1:58,2020/04/13 14:21:12,NULL,20.8,ISO15118,Credit Card,Discount,0.08,1.66,0,20,20,194,2
2020/10/10 14:36:33,2020/10/10 16:12:57,33.1,33.2,OCPI,Credit Card,Fast Pro,0.16,4.29,102,33,23,138,3
2020/07/29 12:18:31,2020/07/29 13:4:57,22.4,21.7,OCHP,Credit Card,Fast Pro,0.16,3.47,0,21,20,22,4
2020/07/10 19:4:55,2020/07/10 20:10:8,28.5,29.3,OpenADR,Credit Card,Discount,0.08,1.99,35,29,23,7,4
2020/11/30 14:43:10,2020/11/30 16:36:47,22.1,21.3,ISO15118,Credit Card,Discount,0.08,1.7,0,21,17,46,4
2020/06/09 5:27:14,2020/06/09 7:51:8,28.3,28.2,OpenADR,Credit Card,Fast Pro,0.16,4.22,29,28,34,178,2
2020/10/21 14:11:20,2020/10/21 16:46:5,28.1,27.3,OICP,Credit Card,Fast Pro,0.16,4.37,0,27,29,73,2
2020/06/15 2:7:45,2020/06/15 4:2:37,NULL,17.2,OCHP,Credit Card,Fast Pro,0.16,2.75,0,17,1,31,5
2020/02/09 2:21:9,2020/02/09 3:0:46,29.9,30.4,OCHP,Credit Card,Fast Pro,0.16,3.16,170,30,5,191,3
2020/06/25 6:23:12,2020/06/25 8:11:30,29.1,29.5,OCHP,Credit Card,Discount,0.08,2.36,0,29,4,131,4
2020/11/28 2:58:46,2020/11/28 4:38:30,25.1,25.0,OCHP,Credit Card,Fast Pro,0.16,2.97,103,25,21,154,5
2020/01/23 13:30:34,2020/01/23 14:43:52,NULL,29.3,OICP,Credit Card,Standard,0.1,2.93,0,29,9,22,3
2020/07/31 5:26:30,2020/07/31 6:37:36,NULL,31.6,OCHP,Credit Card,Standard,0.1,2.4,76,31,31,161,1
2020/11/05 0:28:29,2020/11/05 2:33:53,18.8,18.4,OCPI,Credit Card,Standard,0.1,1.84,0,18,17,129,3
2020/01/02 17:42:38,2020/01/02 18:55:8,32.8,32.1,OCCP,Credit Card,Discount,0.08,1.79,78,32,32,6,3
2020/11/27 5:53:55,2020/11/27 6:50:20,NULL,17.6,OCCP,Credit Card,Standard,0.1,1.76,0,17,16,35,3
2020/08/12 9:1:16,2020/08/12 11:58:1,NULL,23.4,ISO15118,Credit Card,Standard,0.1,2.34,0,23,2,182,3
2020/05/26 4:53:29,2020/05/26 6:55:32,22.2,22.3,OCCP,Credit Card,Fast Pro,0.16,3.57,0,22,4,25,1
2020/06/16 17:10:19,2020/06/16 18:55:34,NULL,24.9,ISO15118,Credit Card,Discount,0.08,1.99,0,24,31,52,5
2020/12/06 16:30:8,2020/12/06 18:17:46,36.8,37.4,OpenADR,Credit Card,Fast Pro,0.16,4.44,154,37,6,179,3
2020/12/07 13:16:25,2020/12/07 15:45:58,35.6,34.7,OCCP,Credit Card,Military,0.04,0.22,117,34,19,72,5
2020/11/08 4:44:33,2020/11/08 5:16:43,33.9,33.7,OCPI,Credit Card,Discount,0.08,2.7,0,33,26,48,3
2020/12/11 17:47:18,2020/12/11 19:13:20,26.2,26.5,ISO15118,Credit Card,Discount,0.08,2.12,0,26,23,55,3
2020/01/17 10:30:22,2020/01/17 12:21:26,28.0,27.4,OpenADR,Credit Card,Discount,0.08,1.14,105,27,3,127,2
2020/12/24 9:13:52,2020/12/24 11:26:43,29.9,29.4,OCPI,Credit Card,Standard,0.1,2.94,0,29,9,91,2
2020/05/05 17:34:46,2020/05/05 18:38:19,25.7,25.2,ISO15118,Credit Card,Fast Pro,0.16,4.03,0,25,20,34,4
2020/10/06 8:36:47,2020/10/06 10:33:0,36.1,36.0,OICP,Credit Card,Standard,0.1,3.6,0,36,6,196,2
2020/05/19 14:12:20,2020/05/19 15:4:25,31.4,31.5,OpenADR,Credit Card,Fast Pro,0.16,5.04,0,31,1,106,3
2020/09/11 18:43:30,2020/09/11 20:1:24,23.1,22.3,ISO15118,Credit Card,Standard,0.1,2.23,0,22,22,175,4
2020/08/24 9:29:51,2020/08/24 10:23:58,25.0,24.2,OpenADR,Credit Card,Fast Pro,0.16,3.87,0,24,12,162,3
2020/07/09 10:49:9,2020/07/09 11:20:52,29.2,28.5,OCHP,Credit Card,Standard,0.1,2.85,0,28,2,22,3
2020/12/02 15:20:20,2020/12/02 16:13:8,NULL,27.8,OCCP,Credit Card,Fast Pro,0.16,4.45,0,27,24,129,2
2020/03/14 17:35:51,2020/03/14 19:14:11,NULL,30.2,OpenADR,Credit Card,Standard,0.1,3.02,0,30,24,68,5
2020/09/28 19:16:54,2020/09/28 21:22:33,NULL,35.6,OCPI,Credit Card,Standard,0.1,3.56,0,35,31,46,5
2020/01/22 15:51:50,2020/01/22 17:18:56,33.8,34.0,OpenADR,Credit Card,Discount,0.08,2.72,0,34,13,29,4
2020/11/19 5:48:21,2020/11/19 6:13:3,NULL,18.9,ISO15118,Credit Card,Military,0.04,0.76,0,18,26,8,5
2020/08/20 10:35:39,2020/08/20 12:25:22,18.1,18.8,OCHP,Credit Card,Standard,0.1,1.88,0,18,9,43,2
2020/04/12 1:44:4,2020/04/12 3:25:40,NULL,33.9,ISO15118,Credit Card,Standard,0.1,3.39,0,33,26,183,5
2020/09/17 16:48:57,2020/09/17 17:10:47,20.2,19.8,OCCP,Credit Card,Standard,0.1,1.98,0,19,6,140,3
2020/05/26 15:2:48,2020/05/26 17:52:54,NULL,35.4,OCHP,Credit Card,Fast Pro,0.16,5.66,0,35,33,172,2
2020/02/28 16:2:5,2020/02/28 17:21:32,NULL,24.0,ISO15118,Credit Card,Military,0.04,0.96,0,24,30,154,2
2020/03/28 4:40:1,2020/03/28 5:42:58,NULL,24.4,OCCP,Credit Card,Standard,0.1,2.44,0,24,34,142,4
2020/07/15 1:54:0,2020/07/15 2:18:11,NULL,17.4,OICP,Credit Card,Standard,0.1,0.91,83,17,14,193,5
2020/06/21 10:29:34,2020/06/21 12:7:7,NULL,19.8,OpenADR,Credit Card,Standard,0.1,1.98,0,19,25,44,3
2020/08/14 4:16:54,2020/08/14 5:40:38,36.9,36.4,ISO15118,Credit Card,Discount,0.08,2.91,0,36,31,146,2
2020/06/04 13:12:43,2020/06/04 14:34:22,NULL,35.4,OCHP,Credit Card,Discount,0.08,2.24,59,35,9,18,2
2020/03/28 10:3:5,2020/03/28 11:33:22,32.5,33.2,OpenADR,Credit Card,Standard,0.1,3.32,0,33,15,134,1
2020/09/24 17:10:25,2020/09/24 18:15:9,24.7,25.4,OpenADR,Credit Card,Fast Pro,0.16,4.06,0,25,18,71,2
2020/11/10 16:44:23,2020/11/10 18:10:6,NULL,17.6,OICP,Credit Card,Fast Pro,0.16,2.82,0,17,4,164,1
2020/01/23 19:16:32,2020/01/23 21:23:19,NULL,19.2,OpenADR,Credit Card,Standard,0.1,1.92,0,19,4,125,3
2020/12/10 17:43:36,2020/12/10 19:14:29,35.9,35.8,OICP,Credit Card,Fast Pro,0.16,5.73,0,35,18,162,3
2020/05/01 9:26:44,2020/05/01 11:19:30,29.0,29.7,ISO15118,Credit Card,Standard,0.1,1.37,160,29,5,169,5
2020/07/17 2:48:13,2020/07/17 4:31:54,NULL,37.6,OCHP,Credit Card,Standard,0.1,3.76,0,37,11,180,4
2020/07/24 18:54:52,2020/07/24 20:47:3,NULL,38.1,OpenADR,Credit Card,Standard,0.1,2.44,137,38,23,27,1
2020/11/05 15:47:34,2020/11/05 16:53:31,31.1,30.9,OpenADR,Credit Card,Standard,0.1,3.09,0,30,26,150,5
2020/02/29 12:30:26,2020/02/29 13:56:22,27.2,27.4,OCPI,Credit Card,Military,0.04,1.1,0,27,25,87,3
2020/03/24 19:21:3,2020/03/24 21:7:27,NULL,36.8,OCPI,Credit Card,Standard,0.1,2.86,82,36,15,192,1
2020/04/29 10:13:39,2020/04/29 12:22:29,15.0,15.9,OCHP,Credit Card,Standard,0.1,1.59,0,15,26,88,5
2020/08/26 17:54:27,2020/08/26 19:49:19,NULL,22.3,OCHP,Credit Card,Discount,0.08,1.78,0,22,11,49,4
2020/07/02 13:49:3,2020/07/02 14:19:18,17.4,17.0,OCPI,Credit Card,Standard,0.1,1.7,0,17,21,185,2
2020/04/10 12:55:25,2020/04/10 13:32:40,NULL,30.9,OCPI,Credit Card,Standard,0.1,2.18,91,30,31,182,1
2020/07/03 10:39:33,2020/07/03 12:0:43,NULL,27.3,OCCP,Credit Card,Fast Pro,0.16,4.37,0,27,6,172,1
2020/03/23 7:29:3,2020/03/23 9:36:49,22.2,21.6,OCCP,Credit Card,Fast Pro,0.16,3.46,0,21,27,5,3
2020/03/25 12:40:39,2020/03/25 14:57:43,28.5,28.1,ISO15118,Credit Card,Fast Pro,0.16,4.5,0,28,7,117,1
2020/10/22 4:12:57,2020/10/22 6:12:8,34.0,34.6,OCHP,Credit Card,Standard,0.1,2.66,80,34,5,42,4
2020/11/03 14:42:20,2020/11/03 15:43:35,18.1,18.5,OCCP,Credit Card,Discount,0.08,1.29,19,18,24,198,4
2020/09/17 3:50:52,2020/09/17 4:28:11,21.4,21.4,OCHP,Credit Card,Military,0.04,0.86,0,21,17,159,5
2020/08/30 17:23:41,2020/08/30 18:39:20,29.1,28.5,OCPI,Credit Card,Discount,0.08,2.28,0,28,2,198,5
2020/03/23 8:50:53,2020/03/23 10:27:31,NULL,36.4,OCPI,Credit Card,Fast Pro,0.16,5.82,0,36,19,127,1
2020/10/20 19:36:42,2020/10/20 21:56:5,NULL,17.8,OCHP,Credit Card,Fast Pro,0.16,2.85,0,17,11,155,1
2020/05/10 7:53:15,2020/05/10 8:37:18,NULL,35.7,OpenADR,Credit Card,Discount,0.08,2.86,0,35,34,94,5
2020/02/08 19:34:28,2020/02/08 20:51:5,NULL,17.1,OpenADR,Credit Card,Discount,0.08,1.37,0,17,1,93,5
2020/12/09 11:35:30,2020/12/09 12:17:29,NULL,31.7,OCPI,Credit Card,Fast Pro,0.16,5.07,0,31,10,67,4
2020/05/31 4:44:58,2020/05/31 6:26:25,NULL,34.2,OCCP,Credit Card,Discount,0.08,2.74,0,34,10,111,3
2020/03/08 4:45:2,2020/03/08 6:2:38,NULL,20.6,OICP,Credit Card,Military,0.04,0.82,0,20,30,100,3
2020/08/05 3:2:8,2020/08/05 4:36:58,NULL,19.6,OpenADR,Credit Card,Standard,0.1,1.55,41,19,15,73,4
